epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,51.8346,1.53609,2.32532,0.01764,0.84081,0.68546,0.88667,0.68245,1.50776,1.13188,0.01023,2.0478e-05,2.0478e-05,2.0478e-05
24,54.1228,1.20047,1.89062,0.01459,0.84081,0.68546,0.88667,0.68245,1.50776,1.13188,0.01023,2.11379e-05,2.11379e-05,2.11379e-05
25,56.4827,1.00044,2.5469,0.01503,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.17741e-05,2.17741e-05,2.17741e-05
26,58.7183,1.0536,2.05528,0.01691,0.95414,0.62896,0.88746,0.68248,1.51173,1.14362,0.01026,2.23869e-05,2.23869e-05,2.23869e-05
27,61.0397,1.20117,1.87115,0.01355,0.91403,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.2976e-05,2.2976e-05,2.2976e-05
28,63.4529,1.09896,1.98605,0.01565,0.91403,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.35417e-05,2.35417e-05,2.35417e-05
29,65.844,1.5737,1.926,0.01647,0.89363,0.65453,0.87307,0.69371,1.51144,1.2199,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,68.0965,0.91088,1.88075,0.01145,0.89363,0.65453,0.87307,0.69371,1.51144,1.2199,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,70.4194,0.9809,1.85289,0.01178,0.7422,0.67373,0.83534,0.68196,1.51447,1.2501,0.01014,2.50971e-05,2.50971e-05,2.50971e-05
32,72.7538,1.08018,2.04721,0.01046,0.7422,0.67373,0.83534,0.68196,1.51447,1.2501,0.01014,2.55685e-05,2.55685e-05,2.55685e-05
33,75.1513,1.14473,2.18701,0.01634,0.73753,0.67793,0.83643,0.6834,1.53377,1.21648,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,77.5094,0.97224,1.35711,0.02018,0.73753,0.67793,0.83643,0.6834,1.53377,1.21648,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,80.2112,1.08923,1.82698,0.01186,0.70627,0.67559,0.83286,0.67244,1.55203,1.25244,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,82.5287,0.98491,1.59741,0.0126,0.70627,0.67559,0.83286,0.67244,1.55203,1.25244,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,84.8448,1.03445,2.36577,0.02221,0.70138,0.67648,0.80864,0.6604,1.56503,1.27474,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,87.3259,1.25367,1.78662,0.0156,0.70138,0.67648,0.80864,0.6604,1.56503,1.27474,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
39,89.7545,1.14501,2.66337,0.01896,0.66204,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,91.9472,1.45608,2.2925,0.02167,0.66204,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,94.451,1.05512,1.64991,0.01364,0.70344,0.66667,0.80298,0.65482,1.63424,1.19126,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
42,96.6793,1.12301,1.65545,0.01733,0.70344,0.66667,0.80298,0.65482,1.63424,1.19126,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,99.0052,0.47704,2.91989,0.00952,0.69267,0.67229,0.80379,0.65574,1.63196,1.22938,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,101.208,0.9977,1.45627,0.01364,0.69267,0.67229,0.80379,0.65574,1.63196,1.22938,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,103.761,0.6215,1.59153,0.01046,0.66949,0.67475,0.80373,0.64843,1.63267,1.26615,0.01067,2.9552e-05,2.9552e-05,2.9552e-05
46,105.953,1.31267,1.81363,0.02222,0.66949,0.67475,0.80373,0.64843,1.63267,1.26615,0.01067,2.96935e-05,2.96935e-05,2.96935e-05
47,108.369,1.02237,1.22021,0.01112,0.69026,0.67484,0.79265,0.64048,1.64843,1.30087,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,110.615,1.02186,1.36211,0.01356,0.69026,0.67484,0.79265,0.64048,1.64843,1.30087,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,113.085,1.18163,1.6591,0.01441,0.68042,0.67907,0.80669,0.62718,1.66896,1.2406,0.01184,2.99766e-05,2.99766e-05,2.99766e-05
50,115.407,1.08629,1.08885,0.01329,0.68042,0.67907,0.80669,0.62718,1.66896,1.2406,0.01184,3.00238e-05,3.00238e-05,3.00238e-05
51,117.891,0.92756,1.27021,0.01052,0.68391,0.66523,0.80368,0.62164,1.6908,1.2635,0.01235,3.00475e-05,3.00475e-05,3.00475e-05
52,120.212,1.07424,1.05048,0.00953,0.68391,0.66523,0.80368,0.62164,1.6908,1.2635,0.01235,3.00476e-05,3.00476e-05,3.00476e-05
53,122.567,0.79429,1.27671,0.01236,0.68391,0.66523,0.80368,0.62164,1.6908,1.2635,0.01235,3.00242e-05,3.00242e-05,3.00242e-05
54,125.08,1.08401,1.82287,0.01844,0.79379,0.6593,0.87274,0.66295,1.70698,1.22076,0.01255,2.99772e-05,2.99772e-05,2.99772e-05
55,127.429,1.0767,1.31613,0.01102,0.79379,0.6593,0.87274,0.66295,1.70698,1.22076,0.01255,2.99066e-05,2.99066e-05,2.99066e-05
56,129.807,0.83536,1.61139,0.00837,0.79379,0.6593,0.87274,0.66295,1.70698,1.22076,0.01255,2.98125e-05,2.98125e-05,2.98125e-05
57,132.189,0.81921,1.07783,0.00982,0.86905,0.65208,0.87274,0.67118,1.70392,1.21514,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,134.571,0.81809,1.08811,0.00764,0.86905,0.65208,0.87274,0.67118,1.70392,1.21514,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,136.949,1.10459,1.37611,0.01613,0.86905,0.65208,0.87274,0.67118,1.70392,1.21514,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,139.388,1.11464,1.8896,0.01823,0.6724,0.66665,0.87171,0.65346,1.69279,1.28041,0.01298,2.92003e-05,2.92003e-05,2.92003e-05
61,141.661,0.70711,1.11125,0.00768,0.6724,0.66665,0.87171,0.65346,1.69279,1.28041,0.01298,2.89884e-05,2.89884e-05,2.89884e-05
62,143.923,0.89575,0.981,0.01561,0.6724,0.66665,0.87171,0.65346,1.69279,1.28041,0.01298,2.87529e-05,2.87529e-05,2.87529e-05
63,146.291,1.44958,2.99187,0.03051,0.61402,0.66955,0.78984,0.57975,1.70144,1.33127,0.01309,2.84938e-05,2.84938e-05,2.84938e-05
64,148.592,0.87091,1.2749,0.00811,0.61402,0.66955,0.78984,0.57975,1.70144,1.33127,0.01309,2.82112e-05,2.82112e-05,2.82112e-05
65,151.075,1.05591,1.13738,0.0115,0.61402,0.66955,0.78984,0.57975,1.70144,1.33127,0.01309,2.7905e-05,2.7905e-05,2.7905e-05
66,153.462,0.76077,0.8306,0.01283,0.62304,0.66388,0.78608,0.57812,1.73203,1.33891,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,155.92,0.88593,0.72407,0.00821,0.62304,0.66388,0.78608,0.57812,1.73203,1.33891,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,158.239,1.13419,1.47309,0.01324,0.62304,0.66388,0.78608,0.57812,1.73203,1.33891,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,160.73,0.91357,0.97825,0.01263,0.59347,0.66475,0.78605,0.56758,1.74935,1.38431,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,162.972,1.30245,1.98484,0.02069,0.59347,0.66475,0.78605,0.56758,1.74935,1.38431,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,165.33,0.80894,0.93958,0.0077,0.59347,0.66475,0.78605,0.56758,1.74935,1.38431,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,167.737,0.98719,0.82925,0.00891,0.62838,0.68251,0.78565,0.56742,1.72721,1.35967,0.01359,2.5102e-05,2.5102e-05,2.5102e-05
73,170.148,0.77784,1.18586,0.0101,0.62838,0.68251,0.78565,0.56742,1.72721,1.35967,0.01359,2.46073e-05,2.46073e-05,2.46073e-05
74,172.515,0.93367,1.19091,0.01092,0.62838,0.68251,0.78565,0.56742,1.72721,1.35967,0.01359,2.40891e-05,2.40891e-05,2.40891e-05
75,174.99,1.18994,1.48638,0.02017,0.90938,0.47768,0.78407,0.56697,1.78326,1.31559,0.01441,2.35472e-05,2.35472e-05,2.35472e-05
76,177.329,0.95508,0.88018,0.01129,0.90938,0.47768,0.78407,0.56697,1.78326,1.31559,0.01441,2.29819e-05,2.29819e-05,2.29819e-05
77,179.759,1.02177,0.98892,0.01084,0.90938,0.47768,0.78407,0.56697,1.78326,1.31559,0.01441,2.23929e-05,2.23929e-05,2.23929e-05
78,182.268,1.19219,1.52482,0.01533,0.76191,0.47221,0.76569,0.54312,1.80177,1.38398,0.0149,2.17805e-05,2.17805e-05,2.17805e-05
79,184.67,0.69723,0.77515,0.00752,0.76191,0.47221,0.76569,0.54312,1.80177,1.38398,0.0149,2.11444e-05,2.11444e-05,2.11444e-05
80,187.17,0.93469,0.83058,0.01138,0.76191,0.47221,0.76569,0.54312,1.80177,1.38398,0.0149,2.04848e-05,2.04848e-05,2.04848e-05
81,189.626,0.86938,0.90954,0.01483,0.77156,0.46432,0.75687,0.54238,1.70246,1.48522,0.01414,1.98016e-05,1.98016e-05,1.98016e-05
82,192.1,0.8005,0.53043,0.01276,0.77156,0.46432,0.75687,0.54238,1.70246,1.48522,0.01414,1.90949e-05,1.90949e-05,1.90949e-05
83,194.417,0.96175,1.87342,0.01264,0.77156,0.46432,0.75687,0.54238,1.70246,1.48522,0.01414,1.83646e-05,1.83646e-05,1.83646e-05
84,196.974,0.73214,0.95683,0.01134,0.941,0.46547,0.70116,0.49404,1.71921,1.60566,0.01467,1.76107e-05,1.76107e-05,1.76107e-05
85,199.302,0.82387,1.36287,0.0092,0.941,0.46547,0.70116,0.49404,1.71921,1.60566,0.01467,1.68333e-05,1.68333e-05,1.68333e-05
86,201.708,1.147,1.96833,0.02215,0.941,0.46547,0.70116,0.49404,1.71921,1.60566,0.01467,1.60323e-05,1.60323e-05,1.60323e-05
87,204.046,1.09686,1.3666,0.01343,0.941,0.46547,0.70116,0.49404,1.71921,1.60566,0.01467,1.52077e-05,1.52077e-05,1.52077e-05
88,206.588,1.02012,1.26104,0.01486,0.67515,0.48278,0.67382,0.4601,1.68076,1.72589,0.01404,1.43596e-05,1.43596e-05,1.43596e-05
89,208.945,1.18821,1.62991,0.01681,0.67515,0.48278,0.67382,0.4601,1.68076,1.72589,0.01404,1.34879e-05,1.34879e-05,1.34879e-05
90,211.392,0.86444,1.0428,0.00911,0.67515,0.48278,0.67382,0.4601,1.68076,1.72589,0.01404,1.25927e-05,1.25927e-05,1.25927e-05
91,213.792,0.65189,0.48406,0.00926,0.67515,0.48278,0.67382,0.4601,1.68076,1.72589,0.01404,1.16739e-05,1.16739e-05,1.16739e-05
92,216.292,0.5346,0.52851,0.00587,0.59682,0.49969,0.67107,0.47553,1.82137,1.54429,0.01525,1.07315e-05,1.07315e-05,1.07315e-05
93,218.708,0.88831,0.90982,0.01672,0.59682,0.49969,0.67107,0.47553,1.82137,1.54429,0.01525,9.76562e-06,9.76562e-06,9.76562e-06
94,221.094,0.62524,0.505,0.00627,0.59682,0.49969,0.67107,0.47553,1.82137,1.54429,0.01525,8.77613e-06,8.77613e-06,8.77613e-06
95,223.563,1.13507,0.9256,0.01907,0.59682,0.49969,0.67107,0.47553,1.82137,1.54429,0.01525,7.76308e-06,7.76308e-06,7.76308e-06
96,226.01,0.79779,0.52053,0.01189,0.56461,0.49835,0.65723,0.47682,1.84979,1.51337,0.01587,6.72648e-06,6.72648e-06,6.72648e-06
97,228.419,0.64416,0.40664,0.00707,0.56461,0.49835,0.65723,0.47682,1.84979,1.51337,0.01587,5.6663e-06,5.6663e-06,5.6663e-06
98,230.779,0.79139,0.6117,0.01448,0.56461,0.49835,0.65723,0.47682,1.84979,1.51337,0.01587,4.58257e-06,4.58257e-06,4.58257e-06
99,233.568,0.84893,0.58294,0.00988,0.56461,0.49835,0.65723,0.47682,1.84979,1.51337,0.01587,3.47528e-06,3.47528e-06,3.47528e-06
100,235.979,0.68436,0.60914,0.00666,0.56317,0.49951,0.68542,0.49067,1.80161,1.48137,0.01499,2.34442e-06,2.34442e-06,2.34442e-06
